"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",59,1,50,1,"1-2 Year","No",2630,8,278,0
"Male",44,1,41,0,"1-2 Year","Yes",26205,26,176,1
"Male",47,1,20,1,"1-2 Year","No",2630,157,284,0
"Female",43,1,28,0,"1-2 Year","Yes",40835,26,126,1
"Female",23,1,35,1,"< 1 Year","No",22956,152,90,0
"Male",30,1,41,1,"< 1 Year","No",25866,152,206,0
"Female",42,1,28,0,"1-2 Year","No",33614,156,175,0
"Male",23,1,41,1,"< 1 Year","No",52751,152,103,0
"Female",20,1,46,1,"< 1 Year","No",36285,160,66,0
"Male",44,1,4,0,"1-2 Year","Yes",31219,26,283,0
"Male",59,1,28,0,"1-2 Year","Yes",43798,26,51,0
"Female",40,1,8,1,"1-2 Year","No",26962,124,200,0
"Male",21,1,39,0,"< 1 Year","Yes",29353,154,191,0
"Male",36,1,10,0,"1-2 Year","Yes",2630,156,71,1
"Female",25,1,39,0,"< 1 Year","Yes",2630,152,61,0
"Male",49,1,41,1,"1-2 Year","No",30340,124,177,0
"Male",43,1,28,1,"1-2 Year","No",38180,61,269,0
"Male",26,1,3,1,"< 1 Year","No",28219,152,37,0
"Female",30,1,11,1,"< 1 Year","No",38059,152,150,0
"Male",69,1,28,0,"1-2 Year","Yes",53029,26,34,1
"Male",23,1,36,0,"< 1 Year","Yes",38861,151,286,1
"Female",45,1,47,0,"1-2 Year","Yes",28709,124,56,0
"Male",55,1,28,0,"1-2 Year","Yes",28774,26,209,0
"Male",48,1,29,0,"1-2 Year","No",34378,152,226,0
"Male",46,1,21,1,"1-2 Year","No",27139,124,271,0
"Female",24,1,25,1,"< 1 Year","No",35179,152,276,0
"Male",37,1,28,0,"1-2 Year","No",29659,124,120,0
"Male",35,1,33,0,"< 1 Year","Yes",2630,1,185,0
"Female",30,1,50,1,"< 1 Year","No",29533,151,269,0
"Male",49,1,9,1,"1-2 Year","No",21068,124,101,0
"Female",20,1,25,1,"< 1 Year","No",40512,160,193,0
"Female",31,1,28,1,"< 1 Year","No",32619,151,42,0
"Female",34,1,33,1,"1-2 Year","No",27711,152,175,0
"Male",40,1,4,0,"1-2 Year","Yes",23680,124,283,1
"Male",22,1,8,1,"< 1 Year","No",44297,26,153,0
"Male",26,1,41,1,"< 1 Year","No",18581,152,120,0
"Female",21,1,30,1,"< 1 Year","No",29391,152,192,0
"Female",21,1,30,0,"< 1 Year","Yes",21618,152,237,1
"Male",39,1,41,1,"1-2 Year","No",2630,156,261,0
"Male",48,1,28,0,"1-2 Year","Yes",41733,26,159,1
"Male",22,1,28,0,"1-2 Year","Yes",38671,124,299,1
"Female",41,1,41,0,"1-2 Year","Yes",29433,124,219,1
"Male",41,1,28,0,"1-2 Year","Yes",55855,55,31,0
"Male",28,1,28,0,"1-2 Year","Yes",49339,124,81,1
"Female",44,1,41,1,"1-2 Year","No",45768,12,147,0
"Male",22,1,3,1,"< 1 Year","No",37586,152,16,0
"Female",65,1,50,0,"> 2 Years","Yes",33426,124,34,0
"Female",49,1,28,1,"1-2 Year","No",31952,26,296,0
"Female",46,1,8,1,"1-2 Year","No",34052,124,94,0
"Male",24,1,27,0,"< 1 Year","Yes",24266,151,288,0
"Female",56,1,8,0,"1-2 Year","Yes",36506,26,281,1
"Male",46,1,28,0,"1-2 Year","Yes",47042,26,169,0
"Male",46,1,50,0,"1-2 Year","Yes",30795,18,102,0
"Male",78,1,28,0,"1-2 Year","Yes",32074,124,148,1
"Female",29,1,8,0,"< 1 Year","Yes",58332,124,129,0
"Female",23,1,29,1,"< 1 Year","No",54050,152,248,0
"Male",37,1,48,0,"1-2 Year","Yes",2630,154,253,0
"Male",46,1,19,0,"1-2 Year","Yes",37243,26,165,1
"Male",46,1,41,0,"1-2 Year","Yes",59928,26,275,0
"Female",36,1,28,0,"1-2 Year","Yes",46509,152,123,1
"Female",30,1,18,1,"< 1 Year","No",33614,152,295,0
"Female",48,1,0,0,"1-2 Year","Yes",2630,124,283,0
"Male",50,1,46,0,"1-2 Year","Yes",2630,25,299,1
"Male",32,1,28,1,"1-2 Year","No",36614,124,10,0
"Male",55,1,28,0,"1-2 Year","Yes",34647,26,51,1
"Male",22,1,41,0,"< 1 Year","Yes",26505,152,192,1
"Male",33,1,18,0,"1-2 Year","Yes",27947,156,233,1
"Male",23,1,50,0,"< 1 Year","Yes",37555,124,75,0
"Male",60,1,8,1,"1-2 Year","No",59137,7,225,0
"Female",49,1,23,0,"1-2 Year","Yes",26607,124,110,1
"Male",62,1,41,0,"1-2 Year","Yes",2630,163,113,1
"Male",43,1,28,0,"1-2 Year","Yes",32838,26,34,0
"Female",29,1,41,0,"1-2 Year","Yes",37919,155,191,1
"Male",36,1,28,0,"1-2 Year","Yes",32774,26,252,0
"Female",34,1,45,1,"1-2 Year","No",2630,29,154,0
"Female",27,1,34,1,"< 1 Year","No",2630,160,14,0
"Male",27,1,13,0,"1-2 Year","Yes",29470,26,206,0
"Female",49,1,28,1,"1-2 Year","No",30616,26,171,0
"Male",25,1,28,1,"< 1 Year","No",33502,152,162,0
"Female",65,1,20,0,"1-2 Year","Yes",2630,26,197,1
"Female",21,1,46,1,"< 1 Year","No",28667,160,259,0
"Female",21,1,28,1,"< 1 Year","No",38256,152,142,0
"Male",70,1,48,0,"1-2 Year","Yes",2630,124,89,0
"Female",76,1,28,0,"1-2 Year","Yes",27917,124,1989,1
"Male",25,1,36,0,"< 1 Year","Yes",37083,152,200,0
"Male",52,1,38,0,"1-2 Year","Yes",34325,26,252,1
"Male",21,1,21,1,"< 1 Year","No",26634,152,142,0
"Male",21,1,42,1,"< 1 Year","No",30969,152,272,0
"Male",30,1,50,1,"< 1 Year","No",19983,152,237,0
"Male",70,1,28,1,"1-2 Year","No",43175,124,71,0
"Male",31,1,15,1,"< 1 Year","No",27577,152,18,0
"Male",45,1,4,1,"1-2 Year","No",43437,11,92,0
"Male",21,1,28,0,"< 1 Year","Yes",49900,124,217,0
"Male",28,1,46,0,"< 1 Year","Yes",37858,152,67,1
"Male",72,1,50,1,"1-2 Year","No",2630,8,247,0
"Male",34,1,18,0,"1-2 Year","Yes",29924,157,273,0
"Male",60,1,39,1,"1-2 Year","No",30375,124,76,0
"Male",21,1,34,0,"< 1 Year","Yes",34345,160,134,0
"Female",23,1,29,1,"< 1 Year","No",48195,152,246,0
"Female",56,1,50,1,"1-2 Year","No",33942,124,20,0
"Male",25,1,30,0,"< 1 Year","Yes",26261,152,119,0
"Male",53,1,15,1,"1-2 Year","Yes",53186,124,88,0
"Male",25,1,33,1,"< 1 Year","No",44379,152,82,0
"Male",22,1,47,0,"< 1 Year","Yes",29280,152,122,0
"Female",21,1,36,0,"< 1 Year","No",30755,152,135,0
"Female",38,1,28,0,"1-2 Year","Yes",29260,154,240,0
"Male",30,1,18,0,"1-2 Year","Yes",2630,156,39,1
"Female",86,1,30,1,"< 1 Year","No",26601,152,186,0
"Female",36,1,18,0,"1-2 Year","Yes",31195,55,268,1
"Male",72,1,41,0,"1-2 Year","Yes",28147,12,231,0
"Female",21,1,17,0,"< 1 Year","Yes",25685,160,32,0
"Male",53,1,9,1,"1-2 Year","No",41724,26,192,0
"Male",22,1,30,0,"< 1 Year","Yes",2630,152,192,1
"Female",21,1,46,0,"< 1 Year","Yes",43539,160,217,0
"Male",77,1,28,1,"1-2 Year","No",41566,26,193,0
"Male",30,1,28,0,"1-2 Year","Yes",20875,26,215,1
"Male",46,1,46,0,"1-2 Year","Yes",2630,26,114,0
"Female",43,1,28,0,"1-2 Year","Yes",36127,124,52,0
"Male",70,1,30,1,"1-2 Year","No",40836,140,139,0
"Female",26,1,41,1,"< 1 Year","No",26288,151,12,0
"Female",77,1,13,0,"< 1 Year","No",32590,152,292,0
"Female",34,1,28,0,"1-2 Year","Yes",51126,26,75,0
"Male",25,1,14,0,"< 1 Year","Yes",26869,152,170,0
"Male",23,1,36,0,"< 1 Year","Yes",26192,152,186,1
"Female",124,1,28,1,"1-2 Year","No",58309,124,288,0
"Female",28,1,7,0,"1-2 Year","Yes",2630,157,43,0
"Male",23,1,18,1,"< 1 Year","No",42010,152,255,0
"Male",22,1,46,1,"< 1 Year","Yes",2630,160,158,0
"Female",46,1,8,0,"1-2 Year","Yes",32203,124,155,0
"Male",66,1,28,0,"> 2 Years","Yes",60446,26,132,1
"Male",49,1,15,0,"> 2 Years","Yes",37727,26,45,0
"Male",38,1,8,0,"1-2 Year","Yes",39886,124,735,0
"Male",33,1,29,0,"1-2 Year","Yes",2630,156,206,1
"Female",29,1,7,1,"< 1 Year","No",2630,152,65,0
"Female",50,1,48,0,"1-2 Year","Yes",2630,154,180,0
"Female",69,1,28,1,"1-2 Year","No",38326,60,172,0
"Female",43,1,39,0,"> 2 Years","Yes",25748,26,27,0
"Male",26,1,50,0,"1-2 Year","Yes",2630,156,132,0
"Male",39,1,34,0,"1-2 Year","Yes",31929,124,24,1
"Female",61,1,31,0,"> 2 Years","Yes",2630,148,72,0
"Female",24,1,33,0,"< 1 Year","Yes",29234,152,63,0
"Female",22,1,33,1,"< 1 Year","No",34702,152,99,0
"Male",52,1,28,1,"1-2 Year","No",51595,124,262,0
"Female",88,1,46,0,"< 1 Year","Yes",33707,160,121,0
"Male",20,1,15,0,"< 1 Year","Yes",41029,160,21,0
"Female",54,1,2,1,"1-2 Year","No",33595,55,94,0
"Male",53,1,22,0,"1-2 Year","Yes",16573,26,229,0
"Male",78,1,28,1,"1-2 Year","No",32101,26,199,0
"Male",40,1,28,0,"1-2 Year","Yes",2630,155,46,0
"Female",38,1,28,0,"1-2 Year","No",2630,26,45,0
"Male",42,1,28,0,"1-2 Year","Yes",63082,124,143,0
"Male",25,1,18,1,"< 1 Year","No",34300,152,44,0
"Male",44,1,28,0,"1-2 Year","Yes",23854,26,272,0
"Female",23,1,2,1,"< 1 Year","No",59275,152,148,0
"Male",21,1,15,0,"< 1 Year","Yes",25859,160,191,0
"Male",49,1,11,1,"1-2 Year","No",34041,26,47,0
"Female",32,1,30,1,"< 1 Year","No",34289,152,69,0
"Female",28,1,8,1,"< 1 Year","No",39689,152,142,0
"Male",21,1,9,0,"< 1 Year","Yes",2630,163,72,1
"Male",58,1,8,0,"> 2 Years","Yes",38776,26,170,1
"Male",40,1,43,1,"1-2 Year","No",29909,124,187,0
"Male",23,1,8,1,"< 1 Year","No",23604,152,242,0
"Male",50,1,28,0,"> 2 Years","Yes",2630,157,38,0
"Male",27,1,30,1,"1-2 Year","No",2630,124,289,0
"Male",62,1,28,0,"> 2 Years","Yes",57981,124,36,1
"Male",35,1,28,1,"1-2 Year","No",54327,124,167,0
"Male",36,1,28,0,"1-2 Year","Yes",47696,122,96,0
"Male",25,1,35,0,"< 1 Year","No",2630,152,66,1
"Female",42,1,28,0,"1-2 Year","Yes",51171,124,69,0
"Female",47,1,28,0,"1-2 Year","Yes",36664,3,271,1
"Male",43,1,28,0,"1-2 Year","Yes",29163,124,285,1
"Male",24,1,28,0,"< 1 Year","No",38812,152,115,0
"Female",39,1,15,1,"1-2 Year","Yes",31065,152,114,0
"Female",24,1,8,1,"< 1 Year","No",28964,152,179,0
"Male",64,1,14,0,"1-2 Year","No",24701,124,205,0
"Male",24,1,6,1,"< 1 Year","No",19426,152,90,0
"Female",21,1,15,0,"< 1 Year","Yes",19112,152,88,1
"Male",71,1,28,0,"1-2 Year","No",31943,26,65,0
"Female",20,1,10,0,"< 1 Year","Yes",30287,160,38,0
"Male",53,1,28,0,"1-2 Year","Yes",51709,29,104,1
"Female",42,1,46,0,"1-2 Year","Yes",31949,11,120,0
"Male",24,1,28,1,"< 1 Year","No",28852,152,230,0
"Female",24,1,41,1,"< 1 Year","No",29159,152,254,0
"Female",24,1,36,1,"< 1 Year","No",32185,152,165,0
"Male",31,1,28,1,"< 1 Year","Yes",2630,156,273,0
"Female",35,1,28,1,"1-2 Year","No",42026,124,54,0
"Male",50,1,34,0,"1-2 Year","Yes",29141,124,161,0
"Male",63,1,46,1,"1-2 Year","No",33424,122,163,0
"Male",55,1,8,1,"1-2 Year","No",27116,26,40,0
"Male",44,1,28,0,"1-2 Year","Yes",24705,26,288,1
"Female",30,1,6,0,"1-2 Year","Yes",2630,157,104,0
"Male",43,1,50,0,"1-2 Year","No",46304,8,11,0
"Male",23,1,6,0,"< 1 Year","Yes",31690,152,284,1
"Male",20,1,36,0,"< 1 Year","Yes",30093,160,138,0
"Female",34,1,41,0,"1-2 Year","Yes",24530,26,49,1
"Female",51,1,28,0,"1-2 Year","Yes",38341,124,49,1
"Female",45,1,35,0,"> 2 Years","Yes",40174,26,252,1
"Male",58,1,33,0,"1-2 Year","Yes",34626,124,128,0
"Male",59,1,28,1,"1-2 Year","No",41094,124,92,0
"Male",23,1,8,1,"< 1 Year","No",23601,152,180,0
"Female",24,1,12,1,"< 1 Year","No",34165,152,254,0
"Male",56,1,28,1,"1-2 Year","No",43343,26,22,0
"Female",39,1,28,0,"1-2 Year","Yes",36476,156,2167,0
"Male",38,1,13,0,"1-2 Year","Yes",27088,160,240,0
"Female",51,1,28,0,"1-2 Year","Yes",75474,55,109,0
"Female",62,1,15,0,"1-2 Year","Yes",24029,26,283,1
"Male",60,1,28,0,"1-2 Year","Yes",2630,154,90,0
"Male",22,1,30,0,"< 1 Year","Yes",30373,152,51,0
"Female",27,1,41,1,"< 1 Year","No",29660,152,126,0
"Male",52,1,42,0,"1-2 Year","Yes",38172,157,270,0
"Female",48,1,28,0,"> 2 Years","Yes",37409,124,29,0
"Male",41,1,28,1,"1-2 Year","No",43987,124,259,0
"Female",20,1,6,0,"< 1 Year","Yes",42664,160,12,0
"Male",63,1,41,0,"1-2 Year","Yes",44216,12,163,0
"Male",42,1,28,1,"1-2 Year","No",28725,124,214,0
"Female",43,1,8,0,"1-2 Year","Yes",2630,124,16,0
"Male",49,1,31,0,"1-2 Year","Yes",2630,124,18,0
"Male",54,1,33,1,"1-2 Year","Yes",45185,124,239,0
"Male",33,1,28,1,"< 1 Year","No",45521,152,135,0
"Female",30,1,29,1,"< 1 Year","No",30948,152,235,0
"Male",52,1,29,0,"1-2 Year","Yes",22367,26,40,1
"Male",51,1,50,1,"1-2 Year","No",31068,152,214,0
"Male",43,1,15,0,"1-2 Year","Yes",2630,124,57,0
"Male",49,1,28,0,"1-2 Year","Yes",56521,163,104,0
"Male",27,1,8,0,"< 1 Year","No",44189,152,101,0
"Male",25,1,46,0,"1-2 Year","Yes",33899,26,26,0
"Female",27,1,46,0,"< 1 Year","Yes",2630,156,151,0
"Female",52,1,43,1,"1-2 Year","No",2630,124,219,0
"Female",43,1,6,0,"> 2 Years","Yes",2630,157,72,0
"Male",45,1,28,0,"1-2 Year","Yes",39352,26,236,0
"Female",66,1,28,0,"1-2 Year","Yes",55139,124,191,0
"Male",36,1,29,0,"1-2 Year","Yes",37875,163,159,1
"Female",44,1,28,1,"1-2 Year","No",41295,26,210,0
"Male",23,1,8,1,"< 1 Year","Yes",38253,152,77,0
"Female",26,1,41,1,"< 1 Year","No",36183,152,65,0
"Male",25,1,14,1,"< 1 Year","No",26408,26,183,0
"Male",20,1,8,0,"< 1 Year","No",33618,160,80,0
"Female",23,1,8,1,"< 1 Year","No",30270,152,240,0
"Female",23,1,46,0,"< 1 Year","Yes",24311,152,18,0
"Male",57,1,39,1,"1-2 Year","No",33808,124,176,0
"Male",34,1,24,0,"1-2 Year","Yes",2630,157,239,0
"Male",47,1,28,0,"1-2 Year","Yes",31182,26,145,1
"Female",21,1,8,0,"< 1 Year","No",36818,152,23,0
"Male",30,1,41,0,"< 1 Year","Yes",25282,152,281,1
"Male",41,1,28,0,"1-2 Year","Yes",35478,26,190,0
"Male",31,1,39,0,"< 1 Year","Yes",64139,152,239,1
"Male",35,1,50,0,"1-2 Year","Yes",27107,124,105,0
"Male",23,1,41,0,"< 1 Year","Yes",43932,152,31,0
"Male",73,1,8,0,"> 2 Years","Yes",73429,26,63,0
"Male",46,1,36,0,"1-2 Year","Yes",40665,124,41,1
"Female",37,1,28,0,"1-2 Year","Yes",36138,26,139,1
"Female",25,1,36,1,"< 1 Year","No",43814,152,113,0
"Male",38,1,37,1,"1-2 Year","No",2630,124,207,0
"Female",35,1,28,0,"1-2 Year","Yes",49950,124,26,1
"Male",24,1,45,0,"< 1 Year","Yes",24450,151,175,1
"Male",52,1,50,1,"1-2 Year","No",30905,8,44,0
"Male",26,1,29,0,"< 1 Year","Yes",44641,152,222,0
"Female",28,1,28,0,"< 1 Year","Yes",51473,26,243,1
"Male",42,1,28,0,"1-2 Year","Yes",2630,26,77,1
"Male",50,1,8,0,"1-2 Year","Yes",38709,25,199,0
"Male",21,1,41,0,"1-2 Year","Yes",2630,157,196,0
"Female",78,1,24,1,"1-2 Year","No",34618,26,231,0
"Female",48,1,28,1,"< 1 Year","No",2630,1,23,0
"Male",50,1,43,0,"1-2 Year","Yes",2630,124,99,0
"Female",61,1,2,0,"1-2 Year","Yes",2630,26,29,0
"Male",35,1,38,0,"1-2 Year","Yes",29693,163,144,1
"Female",21,1,8,1,"< 1 Year","No",35363,160,39,0
"Male",42,1,27,0,"> 2 Years","Yes",24771,124,222,1
"Male",41,1,8,1,"1-2 Year","No",35527,124,267,0
"Male",51,1,20,0,"> 2 Years","Yes",2630,26,191,0
"Male",42,1,4,0,"1-2 Year","No",23405,124,122,0
"Female",25,1,30,0,"< 1 Year","No",30465,152,138,0
"Male",23,1,14,1,"< 1 Year","No",22942,152,282,0
"Female",23,1,36,0,"< 1 Year","Yes",36422,152,116,0
"Female",21,1,8,1,"< 1 Year","No",32536,152,227,0
"Female",49,1,28,0,"1-2 Year","Yes",68447,26,175,1
"Male",42,1,46,0,"1-2 Year","Yes",27363,124,208,0
"Male",44,1,33,0,"1-2 Year","Yes",38893,124,219,0
"Male",53,1,28,0,"1-2 Year","Yes",38803,124,256,0
"Female",41,1,18,1,"1-2 Year","No",84112,152,45,0
"Female",31,1,28,1,"< 1 Year","No",38959,152,285,0
"Female",24,1,36,0,"< 1 Year","Yes",34630,152,88,0
"Female",26,1,41,0,"< 1 Year","Yes",23401,152,51,0
"Female",28,1,28,1,"< 1 Year","No",30904,122,83,0
"Female",28,1,10,1,"< 1 Year","No",42112,152,136,0
"Male",52,1,28,0,"< 1 Year","Yes",50589,124,292,1
"Male",26,1,4,0,"< 1 Year","Yes",45542,152,158,1
"Female",22,1,43,0,"< 1 Year","Yes",26428,152,192,0
"Female",21,1,2,1,"< 1 Year","No",23496,152,2964,0
"Male",24,1,28,0,"1-2 Year","Yes",51743,124,45,0
"Male",23,1,43,1,"< 1 Year","No",33479,26,112,0
"Male",104,1,41,0,"1-2 Year","Yes",42059,26,226,0
"Male",40,1,28,1,"1-2 Year","No",2630,124,209,0
"Male",23,1,8,1,"< 1 Year","No",28367,152,227,0
"Male",27,1,15,1,"< 1 Year","No",28066,152,237,0
"Male",58,1,41,0,"1-2 Year","Yes",40079,12,172,1
"Male",43,1,8,0,"1-2 Year","Yes",62265,26,271,0
"Male",64,1,20,0,"1-2 Year","Yes",2630,124,191,0
"Male",53,1,35,0,"1-2 Year","Yes",2630,26,113,0
"Male",23,1,25,0,"< 1 Year","No",29163,152,207,0
"Male",53,1,39,0,"1-2 Year","Yes",2630,157,145,1
"Male",65,1,8,1,"1-2 Year","No",38374,124,233,0
"Female",37,1,41,0,"1-2 Year","Yes",42990,26,293,0
"Female",53,1,7,0,"1-2 Year","Yes",30474,26,187,0
"Male",38,1,28,0,"1-2 Year","Yes",29413,26,217,0
"Female",73,1,41,0,"1-2 Year","Yes",2630,156,148,0
"Female",36,1,13,0,"1-2 Year","Yes",25695,124,197,1
"Male",55,1,41,1,"1-2 Year","No",30246,124,213,0
"Male",28,1,31,0,"< 1 Year","Yes",2630,26,112,0
"Female",22,1,27,0,"< 1 Year","Yes",39511,152,236,0
"Male",37,1,41,0,"1-2 Year","Yes",40820,124,52,1
"Female",22,1,33,1,"< 1 Year","No",26640,152,93,0
"Female",26,1,35,0,"< 1 Year","Yes",2630,26,146,0
"Male",23,1,29,1,"< 1 Year","No",26957,152,270,0
"Male",24,1,24,0,"< 1 Year","Yes",49598,152,295,0
"Male",21,1,8,1,"< 1 Year","No",45132,152,204,0
"Female",23,1,47,0,"< 1 Year","Yes",44260,152,185,0
"Male",55,1,36,0,"1-2 Year","Yes",36643,124,65,1
"Male",44,1,23,0,"1-2 Year","Yes",34775,26,75,1
"Male",57,1,15,0,"> 2 Years","Yes",44912,14,258,1
"Male",23,1,28,0,"< 1 Year","Yes",44423,160,158,1
"Female",49,1,12,1,"1-2 Year","No",30117,124,252,0
"Male",47,1,15,1,"1-2 Year","No",30458,124,254,0
"Female",37,1,37,0,"1-2 Year","Yes",2630,163,16,0
"Female",47,1,28,0,"> 2 Years","Yes",38287,26,113,0
"Female",45,1,43,0,"1-2 Year","Yes",2630,124,242,0
"Female",38,1,15,0,"1-2 Year","Yes",52453,156,145,1
"Female",31,1,28,0,"1-2 Year","Yes",28930,124,230,0
"Male",56,1,28,0,"1-2 Year","Yes",50065,124,213,0
"Female",32,1,29,0,"1-2 Year","Yes",2630,157,245,0
"Male",27,1,10,1,"< 1 Year","No",25384,152,254,0
"Female",37,1,14,1,"1-2 Year","No",28826,152,122,0
"Male",73,1,28,0,"1-2 Year","Yes",43682,124,121,0
"Male",51,1,48,0,"1-2 Year","Yes",2630,26,40,1
"Male",47,1,30,0,"> 2 Years","Yes",25539,124,103,0
"Female",59,1,28,0,"1-2 Year","Yes",27782,124,264,1
"Male",42,1,28,0,"1-2 Year","Yes",40207,13,64,0
"Female",25,1,49,0,"< 1 Year","Yes",2630,152,194,0
"Male",24,1,11,1,"< 1 Year","No",25677,152,24,0
"Female",34,1,38,0,"1-2 Year","Yes",38920,26,158,0
"Female",48,1,28,0,"1-2 Year","Yes",46134,26,169,0
"Female",28,1,28,1,"< 1 Year","No",23505,152,147,0
"Male",30,1,8,0,"< 1 Year","Yes",33074,152,237,0
"Male",23,1,46,0,"< 1 Year","Yes",33903,26,117,0
"Female",55,1,50,1,"1-2 Year","No",31782,8,136,0
"Female",46,1,8,0,"1-2 Year","Yes",39007,26,21,1
"Female",24,1,46,1,"< 1 Year","No",24961,152,168,0
"Male",52,1,21,1,"1-2 Year","No",30499,26,51,0
"Female",24,1,41,1,"< 1 Year","Yes",47895,152,221,0
"Male",57,1,28,0,"1-2 Year","Yes",28972,157,160,1
"Female",40,1,28,1,"1-2 Year","No",51234,124,54,0
"Male",54,1,28,0,"1-2 Year","Yes",42128,26,139,0
"Female",39,1,23,1,"1-2 Year","No",29049,152,68,0
"Male",55,1,28,0,"1-2 Year","Yes",43778,26,191,0
"Male",25,1,29,1,"< 1 Year","No",35864,151,84,0
"Female",21,1,15,0,"< 1 Year","Yes",27661,160,150,0
"Female",33,1,46,0,"1-2 Year","Yes",2630,26,65,0
"Female",22,1,46,1,"< 1 Year","No",26802,152,267,0
